group;name;desc;price
pedicure;pedicure medyczny;z użyciem skalpela i frezarki;180-220zł
pedicure;pedicure klasyczny;z użyciem frezarki;160zł
pedicure;wrastający paznokieć;z wycięciem wrastającego elementu;130zł
pedicure;założenie klamry ortonyksyjnej;drutowa;220zł
pedicure;kontrola klamry;;130zł
pedicure;oczyszczenie paznokci zmienionych chorobowo;;120-180zł
manicure;manicure klasyczny;;100zł
manicure;manicure hybrydowy;;120zł
manicure;manicure żelowy;przedłużenie paznokci za pomocą żelu lub tipsa;180zł
manicure;uzupełnienie żeli;;140-170zł
manicure;manicure japoński;;120zł
manicure;manicure odżywczy;;90zł
manicure;zdjęcie hybrydy;;60zł
inne;obcięcie i oszlifowanie paznokci zmienionych chorobowo;;120-180zł
inne;usunięcie brodawki wirusowej;kurzajki;100-140zł
inne;usuwanie odcisków, modzeli (1 sztuka);;110zł
inne;badanie mykologiczne z pobraniem materiału;materiał wysyłany do laboratorium;130zł
inne;rekonstrukcja płytki paznokcia;metoda akryl leczniczy;100-150zł
